run_id,name,url,seed,epochs,stride,dropout,padding,activation,batch_size,kernel_size,channel_mult,max_channels,base_channels,learning_rate,n_conv_layers,apply_dropout_at,_step,train_accuracy,train_loss,test_accuracy,_runtime,epoch,test_loss,_timestamp
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,29,56.812,1.2201497593651647,56.27,403.836469,30,1.2362092224655636,1757370204.5703444
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,0,33.776,1.8035325409506289,42.32,7.9738873,1,1.5885366725314194,1757369839.7739913
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,1,43.994,1.5426311098096315,46.76,15.2159405,2,1.4643567633476986,1757369847.0159256
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,2,47.778,1.442217363268518,49.9,22.3425984,3,1.3775424926903597,1757369854.142708
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,3,50.702,1.3691506439157763,51.17,29.6682321,4,1.3294784794947145,1757369861.4682038
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,4,52.908,1.310776905482992,54.25,37.6374258,5,1.262830040257448,1757369869.4376798
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,5,54.662,1.263421791212638,55.72,45.1927058,6,1.225417365314095,1757369876.9928124
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,6,56.166,1.2232909432000212,55.78,52.3490566,7,1.213672844467649,1757369884.1490748
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,7,57.35,1.1884142135262794,57.88,59.8520755,8,1.1670161428724883,1757369891.6522696
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,8,58.578,1.158416257337536,59.57,67.2621001,9,1.1451377154915197,1757369899.0621817
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,9,59.626,1.1280783836341575,59.28,75.1179899,10,1.132225908671215,1757369906.9178736
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,10,60.68,1.1027415778935719,61.39,82.663383,11,1.1059841646510324,1757369914.463445
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,11,61.572,1.0797486486642256,62.27,90.2944335,12,1.0746900788538016,1757369922.093876
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,12,62.462,1.0558792203283676,62.64,97.8175217,13,1.0590873292297314,1757369929.6177604
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,13,63.318,1.0327369457925373,63.03,105.2410526,14,1.0517368973440426,1757369937.0414405
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,14,64.016,1.010633044459326,63.55,112.7895686,15,1.0328101158901384,1757369944.5903282
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,15,64.754,0.994169543694962,64.05,120.387187,16,1.02781753403366,1757369952.1873684
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,16,65.212,0.9750869205540709,64.0,127.9252912,17,1.0262063506302561,1757369959.7255545
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,17,65.992,0.9554006929135384,65.33,135.5316627,18,0.9910924730786852,1757369967.3317714
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,18,66.592,0.9410134386985808,65.05,143.0490314,19,1.0008252547804717,1757369974.8490896
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,19,67.236,0.9197177790162508,65.21,150.496605,20,0.9823959473591701,1757369982.2966826
ryizrmb9,lyric-sweep-2,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ryizrmb9,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,3,2,20,68.042,0.9088320626169825,64.12,158.1373549,21,1.0090978327830127,1757369989.9375548
