run_id,name,url,seed,epochs,stride,dropout,padding,activation,batch_size,kernel_size,channel_mult,max_channels,base_channels,learning_rate,n_conv_layers,apply_dropout_at,_step,train_accuracy,train_loss,test_accuracy,_runtime,epoch,test_loss,_timestamp,runtime_min
ij5ys1hc,devout-sweep-28,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ij5ys1hc,42,30,2,0.2,1,ReLU,128,3,2,128,32,0.001,2,2,29,59.352,1.1576739032859997,58.12,356.5054331,30,1.175719925119907,1757371425.1370032,5.941757218333334
btodnly7,solar-sweep-29,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/btodnly7,42,30,2,0.2,1,ReLU,128,3,2,128,32,0.001,3,2,29,75.486,0.6920897110801218,68.31,218.6736567,30,0.9179296425626248,1757371368.9497068,3.6445609450000003
yr9q0jbv,scarlet-sweep-30,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/yr9q0jbv,42,30,2,0.2,1,ReLU,128,3,2,128,32,0.001,5,2,29,88.194,0.33288520444994385,71.45,225.6769013,30,0.992813891247858,1757371410.3806493,3.7612816883333333
rtgv417q,absurd-sweep-31,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/rtgv417q,42,30,2,0.3,1,ReLU,128,3,2,128,32,0.0005,2,2,29,53.814,1.3008651943767773,52.98,211.550191,30,1.3115699230870115,1757371456.8513794,3.5258365166666668
xh556yuz,earthy-sweep-32,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/xh556yuz,42,30,2,0.3,1,ReLU,128,3,2,128,32,0.0005,3,2,29,66.178,0.9449038397320701,65.35,214.8786249,30,0.9901961465425129,1757371460.7359996,3.581310415
lua74jks,lyric-sweep-33,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/lua74jks,42,30,2,0.3,1,ReLU,128,3,2,128,32,0.0005,5,2,29,81.89,0.5041947364807129,73.14,220.7988269,30,0.7996860606760918,1757371484.1235044,3.679980448333333
9650kr95,hearty-sweep-34,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/9650kr95,42,30,2,0.3,1,ReLU,128,3,2,128,32,0.001,2,2,29,59.352,1.1576739032859997,58.12,207.9839111,30,1.175719925119907,1757371586.342195,3.4663985183333335
7s6fzwqq,bright-sweep-35,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/7s6fzwqq,42,30,2,0.3,1,ReLU,128,3,2,128,32,0.001,3,2,29,73.8,0.7413469171889907,67.9,214.3085303,30,0.9152022056941744,1757371636.8984585,3.5718088383333333
uc1a0ex6,morning-sweep-36,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/uc1a0ex6,42,30,2,0.3,1,ReLU,128,3,2,128,32,0.001,5,2,29,83.868,0.44812582341758794,72.43,372.7384498,30,0.8621456404275532,1757371806.0508056,6.212307496666667
fodo0fdh,frosty-sweep-37,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/fodo0fdh,42,30,2,0.2,1,ReLU,128,3,3,128,32,0.0005,2,2,29,55.132,1.2620971425415,54.74,212.993249,30,1.2698092536081242,1757371681.1509137,3.5498874833333334
